3,7	160	520,542,176
3,7	144	378,193,26
3,7	33	1516,895,857
3,7	275	670,1794,1512
3,7	245	859,1704,1567
3,7	85	768,317,705
3,7	117	2337,5217,814
3,7	171	822,529,534
3,7	28	570,1,566
3,7	63	1092,728,1555
4,6	100	1420,3010,1095
4,6	198	268,169,830
4,6	166	2289,531,880
4,6	118	80,1979,3280
4,6	103	2560,332,2707
4,6	107	1525,3490,3297
4,6	91	3828,4059,3482
4,6	237	456,380,279
4,6	61	162,710,1120
4,6	31	427,165,2169
1,3,6	52	851,2846,1765
1,3,6	134	5182,3023,6858
1,3,6	40	938,1419,404
1,3,6	57	161,435,76
1,3,6	153	1282,943,242
1,3,6	283	605,964,1592
1,3,6	76	1244,275,572
1,3,6	238	400,162,112
1,3,6	271	393,6,761
1,3,6	79	2079,57,1953
4,7	160	539,15,298
4,7	228	2017,3123,3630
4,7	262	458,1355,798
4,7	199	3092,1069,2364
4,7	217	872,2559,4535
4,7	266	2928,1689,1890
4,7	253	298,570,12
4,7	286	2701,2757,672
4,7	270	382,391,278
4,7	159	618,3586,2314
5,6	288	1642,1122,1231
5,6	242	263,127,59
5,6	180	524,1268,226
5,6	263	198,121,12
5,6	72	1267,1872,1943
5,6	185	1207,1678,1200
5,6	29	396,904,1399
5,6	206	1307,1609,548
5,6	190	802,756,647
5,6	47	1110,569,145
1,3,7	81	601,626,1361
1,3,7	193	4664,559,3758
1,3,7	114	1003,30,1249
1,3,7	5	2459,219,1988
1,3,7	261	2429,714,2120
1,3,7	7	3709,3799,1665
1,3,7	152	1907,1286,780
1,3,7	173	277,83,111
1,3,7	13	341,88,295
1,3,7	239	120,645,978
1,4,6	64	1210,1561,2070
1,4,6	241	404,94,90
1,4,6	98	3322,3846,3519
1,4,6	130	334,147,267
1,4,6	83	2025,2751,4370
1,4,6	167	1290,2104,3278
1,4,6	217	872,4730,2357
1,4,6	90	981,286,413
1,4,6	286	2701,2757,75
1,4,6	111	169,428,1377
2,3,6	98	2124,1127,1799
2,3,6	227	371,250,273
2,3,6	148	1767,754,886
2,3,6	196	3218,109,3607
2,3,6	84	5601,379,1922
2,3,6	133	250,227,295
2,3,6	105	540,213,771
2,3,6	172	1639,1247,1348
2,3,6	221	1716,1411,97
2,3,6	238	399,323,112
5,7	36	128,79,602
5,7	20	647,3700,649
5,7	229	38,1447,950
5,7	277	1077,802,771
5,7	71	2159,2688,1983
5,7	267	265,908,1659
5,7	171	822,1482,1927
5,7	44	4111,4144,4359
5,7	188	2176,1568,2353
5,7	95	1405,2080,2600
1,4,7	83	2025,4370,6766
1,4,7	180	729,994,2
1,4,7	213	772,780,841
1,4,7	165	2233,1281,405
1,4,7	246	3789,1806,666
1,4,7	183	1442,1636,1719
1,4,7	279	763,416,532
1,4,7	56	1397,4939,4642
1,4,7	88	171,2517,143
1,4,7	218	802,459,727
1,5,6	115	694,1021,403
1,5,6	228	1446,2767,2017
1,5,6	247	181,60,861
1,5,6	153	1282,943,242
1,5,6	217	998,4730,2357
1,5,6	106	1006,237,641
1,5,6	122	3866,2324,3157
1,5,6	91	2127,3762,3846
1,5,6	283	605,152,815
1,5,6	76	1244,849,1064
2,3,7	162	841,481,893
2,3,7	6	46,2189,2732
2,3,7	167	584,538,1133
2,3,7	183	131,169,111
2,3,7	188	796,240,1614
2,3,7	270	1328,188,818
2,3,7	158	603,316,313
2,3,7	207	398,172,330
2,3,7	95	1692,1944,2632
2,3,7	159	1229,2450,1082
2,4,6	225	2,898,114
2,4,6	129	1007,925,192
2,4,6	226	394,270,197
2,4,6	19	1286,1426,121
2,4,6	21	603,42,598
2,4,6	103	910,1754,2180
2,4,6	231	2612,568,797
2,4,6	90	772,350,254
2,4,6	237	421,380,489
2,4,6	127	1666,1684,640
1,5,7	32	2628,1994,739
1,5,7	208	147,77,859
1,5,7	176	442,769,799
1,5,7	33	1428,814,1371
1,5,7	195	1302,2100,826
1,5,7	149	1469,300,73
1,5,7	265	230,615,811
1,5,7	43	105,635,488
1,5,7	284	1759,1534,749
1,5,7	45	624,1797,849
2,4,7	114	5338,585,887
2,4,7	98	2124,1127,1799
2,4,7	261	2613,724,3382
2,4,7	229	1669,2387,2388
2,4,7	216	1337,1851,1883
2,4,7	10	454,2185,6304
2,4,7	27	1868,3047,2699
2,4,7	236	940,1840,1210
2,4,7	62	2282,1149,2103
2,4,7	223	1873,1310,471
2,5,6	51	550,1156,1394
2,5,6	3	478,144,35
2,5,6	244	554,602,126
2,5,6	132	284,487,380
2,5,6	22	300,297,414
2,5,6	86	198,315,215
2,5,6	150	454,280,467
2,5,6	93	837,128,1709
2,5,6	142	602,578,391
2,5,6	271	60,1655,1183
2,5,7	80	1800,1132,164
2,5,7	48	299,598,1099
2,5,7	81	1098,68,949
2,5,7	84	5601,1922,379
2,5,7	245	849,264,1677
2,5,7	117	822,960,1883
2,5,7	166	1577,2209,249
2,5,7	138	346,1668,38
2,5,7	266	497,4222,3346
2,5,7	14	515,521,938
