FILM         	HA	LA	CO	BA	FR	GM	BM
The Mummy    	0,0575	0,0561	0,0542	0,0827	0,0577	0,0907	0,0559	
Tomcats      	0,0400	0,0608	0,0791	0,0514	0,0641	0,1540	0,0353	
Underworld   	0,1022	0,0790	0,0833	0,1077	0,0808	0,1104	0,0951	
Cheaper by the Dozen	0,0559	0,0585	0,0860	0,1428	0,0946	0,1964	0,0522	
Impromptu    	0,0820	0,0631	0,1310	0,0740	0,0801	0,1519	0,0494	
Thirteen     	0,0930	0,0506	0,1267	0,1025	0,1031	0,0887	0,1027	
Hardcore     	0,0778	0,0485	0,0712	0,0511	0,0826	0,0713	0,0722	
Home on the Range	0,0603	0,0606	0,0753	0,1896	0,0752	0,1439	0,0416	
Big Daddy    	0,0555	0,0527	0,0862	0,1028	0,0914	0,2444	0,0409	
Sylvia       	0,0976	0,0500	0,1344	0,0779	0,0899	0,0828	0,0822	
Rush Hour    	0,0521	0,0736	0,0689	0,0686	0,0809	0,2170	0,0420	
Man on Fire  	0,0962	0,0679	0,1195	0,0954	0,1023	0,1000	0,1288	
War of the Worlds	0,1065	0,0841	0,0906	0,1188	0,0994	0,1050	0,1208	
Cabin Fever  	0,0818	0,0667	0,0679	0,0755	0,0952	0,1558	0,0935	
The One      	0,0806	0,0541	0,0641	0,0758	0,0660	0,0841	0,0807	
Dirty Work   	0,0305	0,0633	0,0464	0,0597	0,0767	0,2000	0,0436	
Jersey Girl  	0,0649	0,0609	0,1333	0,1165	0,0885	0,1684	0,0472	
Walking Tall 	0,0636	0,0492	0,0629	0,0716	0,0706	0,1033	0,0720	
Moulin Rouge 	0,0631	0,0498	0,0743	0,0755	0,0523	0,0696	0,0423	
Fantasia 2000	0,0742	0,0555	0,0774	0,1898	0,0695	0,1215	0,0712	
Tuck Everlasting	0,0800	0,0534	0,1149	0,1303	0,0751	0,1197	0,0586	
Oliver Twist 	0,1145	0,0472	0,0848	0,1055	0,0841	0,0925	0,0755	
The Shaggy Dog	0,0417	0,0747	0,0512	0,0839	0,0681	0,1555	0,0384	
Wolf         	0,0767	0,0666	0,0798	0,0856	0,0775	0,0904	0,0616	
Alone in the Dark	0,0667	0,0491	0,0610	0,0800	0,0662	0,0907	0,0699	
Behind Enemy Lines	0,0836	0,0695	0,0659	0,0781	0,0734	0,1024	0,1306	
The Apartment	0,1048	0,0394	0,1092	0,0539	0,0558	0,0667	0,0434	
The Village  	0,1611	0,0847	0,1085	0,1137	0,0951	0,1033	0,1023	
Peter Pan    	0,0857	0,0639	0,1169	0,2239	0,0860	0,1311	0,0726	
The In-Laws  	0,0457	0,0625	0,0642	0,0641	0,0744	0,1853	0,0307	
The Libertine	0,1000	0,0504	0,1053	0,0688	0,0903	0,0883	0,0783	
Babel        	0,1398	0,0658	0,1272	0,0913	0,1078	0,0933	0,0981	
300          	0,1077	0,0878	0,0993	0,1417	0,1011	0,1152	0,1650	
Blood Diamond	0,1154	0,0620	0,1110	0,0913	0,1097	0,1016	0,1585	
Alpha Dog    	0,0801	0,0448	0,0742	0,0693	0,0819	0,0690	0,0746	
We Are Marshall	0,0749	0,0493	0,1149	0,0794	0,1024	0,0976	0,1071	
Apocalypto   	0,1242	0,0727	0,1179	0,1116	0,1043	0,1034	0,1422	
Stranger than Fiction	0,1193	0,0711	0,1210	0,1085	0,1114	0,1824	0,0728	
Saw          	0,1407	0,0622	0,0696	0,0807	0,0769	0,0959	0,1181	
Match Point  	0,1345	0,0697	0,1428	0,0870	0,0979	0,1057	0,0825	
The Machinist	0,1580	0,0650	0,0972	0,0793	0,0815	0,0824	0,0997	
The Last Samurai	0,1174	0,0639	0,1136	0,1023	0,1306	0,1054	0,1492	
Once Upon a Time in Mexico	0,0747	0,0712	0,0634	0,0733	0,0704	0,1169	0,0741	
8 Mile       	0,0870	0,0557	0,0987	0,0820	0,1155	0,1097	0,1023	
Enemy at the Gates	0,1029	0,0606	0,1010	0,0866	0,0902	0,0830	0,2057	
Kingdom of Heaven	0,1301	0,0667	0,0964	0,0995	0,1118	0,0952	0,1136	
Hitch        	0,0724	0,0709	0,1747	0,0973	0,1245	0,2565	0,0526	
Harry Potter and the Chamber of Secrets	0,0962	0,0755	0,0777	0,1555	0,0901	0,1280	0,0711	
The Pledge   	0,1324	0,0659	0,0905	0,0733	0,0851	0,0746	0,0866	
American Psycho	0,1165	0,0670	0,0865	0,0839	0,0925	0,1603	0,1054	
Unbreakable  	0,1479	0,0980	0,1005	0,1224	0,1028	0,1073	0,0940	
Any Given Sunday	0,0806	0,0539	0,0814	0,0755	0,0826	0,0915	0,0758	
Sleepy Hollow	0,1157	0,0784	0,0793	0,1438	0,0856	0,1344	0,1047	
Vanilla Sky  	0,1495	0,0677	0,1090	0,0978	0,0973	0,1055	0,0714	
Miss Congeniality	0,0640	0,0991	0,1000	0,1024	0,1028	0,2933	0,0505	
