L            	HA	LA	CO	BA	FR	GM	BM
be honest    	0,000	0,000	0,000	0,000	5,989	0,000	0,000	
be hot       	0,000	0,000	4,980	0,000	0,000	0,000	0,000	
be husband   	0,000	0,000	3,045	0,000	0,000	0,000	0,000	
be imagination	0,000	0,000	0,000	6,115	0,000	0,000	0,000	
be innocent  	0,000	0,000	0,000	2,897	0,000	0,000	0,000	
be inspirational	4,237	0,000	0,000	0,000	0,000	0,000	0,000	
be instant   	0,000	2,821	0,000	0,000	0,000	0,000	0,000	
be intimate  	0,000	0,000	3,032	0,000	0,000	0,000	0,000	
be intricate 	4,539	0,000	0,000	0,000	0,000	0,000	0,000	
be intuitive 	0,000	3,887	0,000	0,000	0,000	0,000	0,000	
be ironic    	0,000	0,000	0,000	0,000	0,000	7,990	0,000	
be joy       	0,000	3,901	0,000	3,511	0,000	8,061	0,000	
be joyful    	0,000	0,000	0,000	0,000	0,000	2,686	0,000	
be kid       	0,000	0,000	0,000	4,709	0,000	0,000	0,000	
be kind      	0,000	0,000	0,000	0,000	0,000	6,200	0,000	
be kiss      	0,000	0,000	5,484	0,000	0,000	0,000	0,000	
be laugh     	0,000	0,000	0,000	0,000	0,000	9,145	0,000	
be lie       	0,000	0,000	0,000	0,000	0,000	0,000	7,211	
be light     	0,000	2,707	0,000	0,000	0,000	0,000	0,000	
be linear    	0,000	9,380	0,000	0,000	0,000	0,000	0,000	
be love      	0,000	0,000	8,044	1,508	0,000	4,022	0,000	
be lovely    	0,000	0,000	0,000	0,000	0,000	10,118	0,000	
be lover     	0,000	0,000	3,164	0,000	0,000	0,000	0,000	
be loyal     	0,000	0,000	0,000	0,000	9,156	0,000	0,000	
be magic     	0,000	0,000	0,000	8,758	0,000	0,000	0,000	
be magical   	0,000	0,000	0,000	5,332	0,000	0,000	0,000	
be mean      	5,007	0,000	0,000	0,000	0,000	0,000	6,259	
be metaphor  	2,340	0,000	0,000	0,000	0,000	0,000	0,000	
be miserable 	0,000	0,000	0,000	0,000	0,000	0,000	5,831	
be mom       	0,000	0,000	0,000	2,113	0,000	0,000	0,000	
be musical   	0,000	0,000	0,000	4,126	0,000	0,000	0,000	
be mutual    	0,000	0,000	0,000	0,000	5,628	0,000	0,000	
be mystery   	2,193	0,000	0,000	0,000	0,000	0,000	0,000	
be mystical  	0,000	0,000	0,000	3,701	0,000	0,000	0,000	
be night     	0,000	3,251	0,000	0,000	0,000	0,000	0,000	
be obvious   	0,000	6,817	0,000	0,000	0,000	0,000	0,000	
be offend    	0,000	0,000	0,000	0,000	0,000	0,000	4,761	
be original  	3,214	0,000	0,000	0,000	0,000	0,000	0,000	
be partner   	0,000	0,000	3,887	0,000	0,000	0,000	0,000	
be passion   	0,000	0,000	5,026	0,000	0,000	0,000	0,000	
be passionate	0,000	0,000	3,014	0,000	0,000	0,000	0,000	
be peace     	0,000	6,669	0,000	0,000	0,000	3,335	0,000	
be peaceful  	0,000	3,521	0,000	0,000	0,000	0,000	0,000	
be plain     	0,000	7,333	0,000	0,000	0,000	0,000	0,000	
be pleasant  	0,000	9,409	0,000	0,000	0,000	0,000	0,000	
be please    	0,000	0,000	0,000	0,000	0,000	2,547	0,000	
be pleased   	0,000	0,000	0,000	0,000	0,000	6,115	0,000	
be pleasure  	0,000	0,000	0,000	0,000	0,000	9,599	0,000	
be powerful  	0,000	0,000	2,008	0,000	0,000	0,000	0,000	
be predictable	0,000	2,186	0,000	0,000	0,000	0,000	0,000	
be profound  	9,708	0,000	5,547	0,000	0,000	0,000	0,000	
be proud     	0,000	0,000	0,000	3,744	0,000	0,000	0,000	
be pure      	0,000	0,000	3,382	0,000	0,000	0,000	0,000	
be quiet     	0,000	2,724	0,000	0,000	0,000	0,000	0,000	
be raw       	0,000	0,000	0,000	0,000	0,000	0,000	4,227	
be real      	0,000	0,000	0,000	0,000	1,839	0,000	0,000	
be relationship	0,000	0,000	4,429	0,000	0,000	0,000	0,000	
be relax     	0,000	11,132	0,000	0,000	0,000	6,850	0,000	
be reliable  	0,000	0,000	0,000	0,000	10,969	0,000	0,000	
be rely      	0,000	0,000	0,000	0,000	5,484	0,000	0,000	
be romance   	0,000	0,000	4,352	0,000	0,000	0,000	0,000	
be romantic  	0,000	0,000	9,204	0,000	0,000	0,000	0,000	
be rude      	0,000	0,000	0,000	0,000	0,000	0,000	10,690	
be sad       	0,000	0,000	0,000	0,000	0,000	0,000	7,806	
be scare     	0,000	0,000	0,000	0,000	0,000	0,000	2,808	
be scared    	0,000	0,000	0,000	0,000	0,000	0,000	3,263	
be seductive 	0,000	0,000	5,107	0,000	0,000	0,000	0,000	
be selfish   	0,000	0,000	0,000	0,000	0,000	0,000	9,042	
be sensual   	0,000	0,000	5,107	0,000	0,000	0,000	0,000	
be sentimental	0,000	0,000	9,264	0,000	0,000	0,000	0,000	
be sexual    	0,000	0,000	5,026	0,000	0,000	0,000	0,000	
be sexy      	0,000	0,000	6,767	0,000	0,000	0,000	0,000	
be shameful  	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
be share     	0,000	0,000	0,000	0,000	2,948	0,000	0,000	
be shine     	0,000	0,000	0,000	0,000	0,000	4,333	0,000	
be shocking  	0,000	0,000	0,000	0,000	0,000	0,000	4,143	
be silly     	0,000	0,000	0,000	0,000	0,000	0,000	6,039	
be simple    	0,000	11,557	0,000	0,000	0,000	0,000	0,000	
be sincere   	0,000	0,000	0,000	0,000	9,310	3,103	0,000	
be smart     	2,336	0,000	0,000	0,000	0,000	0,000	0,000	
be smile     	0,000	0,000	0,000	6,669	0,000	2,501	0,000	
be smooth    	0,000	2,996	0,000	0,000	0,000	0,000	0,000	
be soft      	0,000	8,736	0,000	0,000	0,000	0,000	0,000	
be son       	0,000	0,000	0,000	2,872	0,000	0,000	0,000	
be soulmate  	0,000	0,000	5,831	0,000	0,000	0,000	0,000	
be struggle  	0,000	0,000	0,000	0,000	0,000	0,000	4,558	
be student   	0,000	0,000	0,000	3,368	0,000	0,000	0,000	
be success   	0,000	0,000	0,000	0,000	0,000	2,861	0,000	
be superhero 	0,000	0,000	0,000	2,824	0,000	0,000	0,000	
be support   	0,000	0,000	0,000	0,000	4,053	0,000	0,000	
be sweet     	0,000	0,000	2,410	1,808	0,000	9,039	0,000	
be tale      	0,000	0,000	0,000	5,670	0,000	0,000	0,000	
be teen      	0,000	0,000	0,000	0,000	9,870	6,580	0,000	
be teenager  	0,000	0,000	0,000	1,772	0,000	0,000	0,000	
be tender    	0,000	7,665	0,000	5,365	0,000	7,665	0,000	
be terrible  	0,000	0,000	0,000	0,000	0,000	0,000	3,128	
be thief     	0,000	0,000	0,000	0,000	0,000	0,000	10,851	
be thrilling 	0,000	0,000	0,000	0,000	0,000	0,000	2,618	
be tire      	0,000	4,840	0,000	0,000	0,000	0,000	0,000	
be touch     	0,000	0,000	4,831	0,000	2,415	0,000	0,000	
be tough     	0,000	0,000	0,000	0,000	0,000	0,000	3,945	
be toy       	0,000	0,000	0,000	3,251	0,000	0,000	0,000	
be triumph   	0,000	0,000	0,000	0,000	0,000	2,846	0,000	
be trust     	0,000	0,000	2,489	0,000	8,298	0,000	0,000	
be unpredictable	11,938	0,000	0,000	0,000	0,000	0,000	0,000	
be victim    	0,000	0,000	0,000	0,000	0,000	0,000	3,470	
be villain   	0,000	0,000	0,000	0,000	0,000	0,000	4,667	
be violence  	0,000	0,000	0,000	0,000	0,000	0,000	8,261	
be violent   	0,000	0,000	0,000	0,000	0,000	0,000	11,014	
be war       	0,000	0,000	0,000	0,000	0,000	0,000	8,594	
be wife      	0,000	0,000	2,996	0,000	0,000	0,000	0,000	
be win       	0,000	0,000	0,000	0,000	0,000	2,662	0,000	
be witty     	0,000	0,000	0,000	0,000	0,000	5,163	0,000	
be young     	0,000	0,000	0,000	7,579	0,000	0,000	0,000	
be youth     	0,000	0,000	0,000	2,776	0,000	0,000	0,000	
beautiful adventure	0,000	0,000	0,000	6,524	0,000	0,000	0,000	
beautiful animated	0,000	0,000	0,000	6,177	0,000	0,000	0,000	
beautiful couple	0,000	0,000	5,975	0,000	0,000	0,000	0,000	
beautiful effective	0,000	0,000	0,000	0,000	0,000	0,000	5,975	
beautiful evocative	0,000	0,000	6,177	0,000	0,000	0,000	0,000	
beautiful funny	0,000	0,000	0,000	0,000	5,002	0,000	0,000	
beautiful landscape	0,000	10,215	0,000	0,000	0,000	0,000	0,000	
beautiful location	0,000	9,957	0,000	0,000	0,000	0,000	0,000	
beautiful princess	0,000	0,000	0,000	5,242	0,000	0,000	0,000	
beautiful sentimental	0,000	0,000	6,524	0,000	0,000	0,000	0,000	
beauty nature	0,000	10,969	0,000	0,000	0,000	0,000	0,000	
believable romance	0,000	0,000	5,975	0,000	0,000	0,000	0,000	
best friend  	0,000	0,000	0,000	0,000	7,097	0,000	0,000	
big brother  	0,000	0,000	0,000	5,138	0,000	0,000	0,000	
big dream    	0,000	0,000	0,000	7,626	0,000	0,000	0,000	
brain teaser 	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
break heart  	0,000	0,000	8,758	0,000	0,000	0,000	0,000	
breathtaking landscape	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
breathtaking scene	3,617	0,000	0,000	0,000	0,000	0,000	0,000	
calm relax   	0,000	4,349	0,000	0,000	0,000	0,000	0,000	
calm serene  	0,000	4,118	0,000	0,000	0,000	0,000	0,000	
calming voice	0,000	6,177	0,000	0,000	0,000	0,000	0,000	
capture attention	10,506	0,000	0,000	0,000	0,000	0,000	0,000	
capture emotion	3,263	0,000	0,000	0,000	0,000	0,000	0,000	
capture heart	0,000	0,000	2,948	0,000	0,000	0,000	0,000	
cause pain   	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
celebrate life	0,000	0,000	0,000	0,000	0,000	9,718	0,000	
change life  	2,740	0,000	0,000	0,000	0,000	0,000	0,000	
change perception	3,656	0,000	0,000	0,000	0,000	0,000	0,000	
chase dream  	0,000	0,000	0,000	3,582	0,000	0,000	0,000	
chemistry moment	0,000	0,000	6,524	6,524	0,000	0,000	0,000	
child imagination	0,000	0,000	0,000	3,813	0,000	0,000	0,000	
child learn  	0,000	0,000	0,000	10,052	0,000	0,000	0,000	
child thing  	0,000	0,000	0,000	6,524	0,000	0,000	0,000	
childhood be 	0,000	0,000	0,000	0,000	0,000	4,746	0,000	
childhood memory	0,000	0,000	0,000	3,073	0,000	0,000	0,000	
close attention	5,876	0,000	0,000	0,000	0,000	0,000	0,000	
close heart  	0,000	0,000	5,170	0,000	0,000	0,000	0,000	
cold blood   	0,000	0,000	0,000	0,000	0,000	0,000	10,104	
come true    	0,000	0,000	2,762	0,000	0,000	0,000	0,000	
comedy movie 	0,000	0,000	0,000	0,000	0,000	4,414	0,000	
comic act    	0,000	0,000	0,000	0,000	0,000	6,524	0,000	
comic moment 	0,000	0,000	0,000	0,000	9,752	4,876	0,000	
comic scene  	0,000	0,000	0,000	0,000	0,000	5,484	0,000	
complex character	2,839	0,000	0,000	0,000	0,000	0,000	0,000	
complex engage	4,349	0,000	0,000	0,000	0,000	0,000	0,000	
complex engaging	3,983	0,000	0,000	0,000	0,000	0,000	0,000	
complex message	5,975	0,000	0,000	0,000	0,000	0,000	0,000	
complex plot 	9,411	0,000	0,000	0,000	0,000	0,000	0,000	
complex puzzle	6,524	0,000	0,000	0,000	0,000	0,000	0,000	
complex story	3,002	0,000	0,000	0,000	0,000	0,000	0,000	
complex storyline	5,994	0,000	0,000	0,000	0,000	0,000	0,000	
complex watch	7,207	0,000	0,000	0,000	0,000	0,000	0,000	
complex world	3,582	0,000	0,000	0,000	0,000	0,000	0,000	
conversation real	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
couple love  	0,000	0,000	5,425	0,000	0,000	0,000	0,000	
crazy comedy 	0,000	0,000	0,000	0,000	0,000	6,177	0,000	
create problem	0,000	0,000	0,000	0,000	0,000	0,000	6,524	
cruelty life 	0,000	0,000	0,000	0,000	0,000	0,000	6,524	
cute couple  	0,000	0,000	5,831	0,000	0,000	0,000	0,000	
date movie   	0,000	0,000	2,938	0,000	0,000	0,000	0,000	
death be     	0,000	0,000	0,000	0,000	0,000	0,000	2,814	
deep complex 	9,042	0,000	0,000	0,000	0,000	0,000	0,000	
deep connection	0,000	0,000	5,373	0,000	0,000	0,000	0,000	
deep emotion 	0,000	0,000	8,736	0,000	0,000	0,000	0,000	
deep intricate	8,699	0,000	0,000	0,000	0,000	0,000	0,000	
deep meaning 	6,072	0,000	0,000	0,000	0,000	0,000	0,000	
deep romantic	0,000	0,000	3,983	0,000	0,000	0,000	0,000	
deep understanding	5,425	0,000	0,000	0,000	0,000	0,000	0,000	
defeat enemy 	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
delight eye  	2,776	0,000	0,000	0,000	0,000	5,551	0,000	
depth look   	4,680	0,000	0,000	0,000	0,000	0,000	0,000	
depth relationship	3,983	0,000	0,000	0,000	0,000	0,000	0,000	
deserve die  	0,000	0,000	0,000	0,000	0,000	0,000	5,975	
desire love  	0,000	0,000	2,776	0,000	0,000	0,000	0,000	
difficult film	3,701	0,000	0,000	0,000	0,000	0,000	0,000	
difficult understand	9,532	0,000	0,000	0,000	0,000	0,000	0,000	
do wrong     	0,000	0,000	0,000	0,000	0,000	0,000	5,170	
dramatic landscape	0,000	0,000	0,000	0,000	0,000	0,000	6,524	
dramatic situation	0,000	0,000	0,000	0,000	0,000	0,000	5,719	
dream kid    	0,000	0,000	0,000	4,349	0,000	0,000	0,000	
dream life   	0,000	0,000	3,656	0,000	0,000	0,000	0,000	
dream movie  	0,000	0,000	5,325	5,325	0,000	0,000	0,000	
dream sequence	0,000	0,000	0,000	3,096	0,000	0,000	0,000	
dreamy kiss  	0,000	0,000	4,349	0,000	0,000	0,000	0,000	
easy follow  	0,000	6,987	0,000	0,000	0,000	0,000	0,000	
easy understand	0,000	9,264	0,000	0,000	0,000	0,000	0,000	
easy watch   	0,000	9,097	0,000	0,000	0,000	0,000	0,000	
emotion passion	0,000	0,000	3,582	0,000	0,000	0,000	0,000	
emotional desire	0,000	0,000	4,349	0,000	0,000	0,000	0,000	
enchant child	0,000	0,000	0,000	6,177	0,000	0,000	0,000	
energy be    	0,000	0,000	0,000	0,000	0,000	3,304	0,000	
engage plot  	6,673	0,000	0,000	0,000	0,000	0,000	0,000	
engage sad   	4,118	0,000	0,000	0,000	0,000	0,000	0,000	
engaging thriller	4,349	0,000	0,000	0,000	0,000	0,000	0,000	
enigmatic character	6,566	0,000	0,000	0,000	0,000	0,000	0,000	
enjoy life   	0,000	0,000	0,000	0,000	0,000	9,287	0,000	
entertaining movie	3,481	0,000	0,000	0,000	0,000	0,000	0,000	
epic scene   	3,582	0,000	0,000	0,000	0,000	0,000	0,000	
