FILM	HA	LA	CO	BA	FR	GM	BM
246   	1806	1476	3683	2345	1720	421	365	
247   	443	609	16	391	60	539	781	
248   	267	90	146	178	291	4	300	
249   	20	107	46	46	72	4	46	
250   	401	128	496	219	63	286	13	
251   	188	173	137	426	385	314	214	
252   	152	67	128	146	82	146	205	
253   	494	151	710	162	61	284	466	
254   	258	338	200	499	198	338	198	
255   	106	348	301	301	184	356	367	
256   	53	71	13	93	112	91	22	
257   	337	56	284	130	32	130	295	
258   	190	140	55	310	184	140	295	
259   	406	375	119	134	94	220	310	
260   	58	102	87	80	57	76	12	
261   	2429	751	2469	1525	2166	1326	3253	
262   	1514	1356	1169	97	1715	1524	38	
263   	161	76	120	237	198	32	161	
264   	583	289	110	236	586	590	420	
265   	230	1450	1292	1421	1518	478	480	
266   	3665	519	1802	2391	3020	701	1396	
267   	4	526	847	1122	265	361	143	
268   	317	276	113	89	310	181	105	
269   	84	492	93	299	541	171	461	
270   	1809	188	1627	575	525	106	500	
271   	494	1217	164	1025	1222	396	1415	
272   	606	1479	322	965	851	1429	751	
273   	415	122	855	148	955	1095	855	
274   	121	563	568	372	492	16	327	
275   	2056	2371	1835	1873	976	185	1203	
276   	202	545	65	450	533	526	379	
277   	800	800	1075	802	1360	1271	318	
278   	124	608	632	566	833	910	401	
279   	1805	212	1969	413	319	212	995	
280   	1103	880	357	323	1135	880	520	
281   	1254	2276	1722	1537	520	1145	1513	
282   	355	166	515	117	19	119	159	
283   	1689	71	1196	759	860	1340	71	
284   	291	1814	952	1817	225	2080	584	
285   	577	121	30	514	30	87	264	
286   	1090	2802	1965	2701	578	2371	1965	
287   	690	1384	519	14	1136	53	992	
288   	535	732	132	1503	612	732	374	
