FILM         	HA	LA	CO	BA	FR	GM	BM
Rain Man     	0,0386	0,0243	0,0642	0,0430	0,0547	0,0489	0,0325	
The Birds    	0,0501	0,0246	0,0548	0,0402	0,0484	0,0496	0,0506	
Edward Scissorhands	0,0437	0,0261	0,0960	0,0871	0,0600	0,0581	0,0458	
Peeping Tom  	0,0535	0,0206	0,0472	0,0296	0,0461	0,0270	0,0623	
Eraserhead   	0,0561	0,0264	0,0509	0,0359	0,0540	0,0396	0,0471	
Gladiator    	0,0559	0,0262	0,0639	0,0440	0,0637	0,0406	0,0878	
Little Miss Sunshine	0,0469	0,0443	0,0766	0,0739	0,0745	0,1075	0,0432	
True Romance 	0,0373	0,0243	0,1594	0,0348	0,0490	0,0570	0,0479	
Brokeback Mountain	0,0646	0,0273	0,1691	0,0425	0,0886	0,0423	0,0620	
Shrek        	0,0485	0,0500	0,0707	0,2012	0,0775	0,1315	0,0375	
The Piano    	0,0468	0,0161	0,1077	0,0349	0,0576	0,0331	0,0462	
Doctor Zhivago	0,0475	0,0221	0,1077	0,0414	0,0533	0,0355	0,0493	
Malcolm X    	0,0513	0,0202	0,0532	0,0308	0,0625	0,0289	0,0502	
Donnie Darko 	0,0802	0,0291	0,0612	0,0473	0,0646	0,0536	0,0515	
Paper Moon   	0,0396	0,0303	0,0650	0,0569	0,0532	0,0757	0,0299	
Nine Queens  	0,0705	0,0172	0,0375	0,0274	0,0413	0,0432	0,0309	
Run Lola Run 	0,0613	0,0389	0,0585	0,0401	0,0533	0,0573	0,0425	
Quiz Show    	0,0496	0,0153	0,0439	0,0307	0,0463	0,0311	0,0370	
West Side Story	0,0358	0,0171	0,0781	0,0481	0,0530	0,0532	0,0411	
American Graffiti	0,0334	0,0256	0,0522	0,0458	0,0528	0,0723	0,0322	
Kung Fu Hustle	0,0427	0,0469	0,0504	0,0577	0,0569	0,1126	0,0670	
Porco Rosso  	0,0442	0,0311	0,0583	0,0786	0,0496	0,0614	0,0394	
Midnight Express	0,0392	0,0164	0,0470	0,0261	0,0548	0,0245	0,0514	
Midnight Run 	0,0365	0,0309	0,0443	0,0323	0,0578	0,0985	0,0284	
The Umbrellas of Cherbourg	0,0371	0,0245	0,0877	0,0487	0,0398	0,0407	0,0377	
Serenity     	0,0588	0,0345	0,0657	0,0546	0,0656	0,0704	0,0507	
Mystic River 	0,0683	0,0223	0,0666	0,0359	0,0602	0,0344	0,0642	
After Hours  	0,0433	0,0301	0,0432	0,0279	0,0446	0,0716	0,0344	
Apollo 13    	0,0526	0,0177	0,0517	0,0484	0,0521	0,0379	0,0544	
Dances with Wolves	0,0494	0,0228	0,0742	0,0408	0,0586	0,0409	0,0491	
From Here to Eternity	0,0321	0,0161	0,0564	0,0284	0,0485	0,0308	0,0514	
American Splendor	0,0467	0,0288	0,0662	0,0399	0,0731	0,0513	0,0382	
Easy Rider   	0,0438	0,0269	0,0513	0,0357	0,0548	0,0430	0,0444	
Animal House 	0,0270	0,0549	0,0391	0,0375	0,0609	0,1148	0,0279	
East of Eden 	0,0423	0,0152	0,0589	0,0338	0,0519	0,0292	0,0432	
Dead Man Walking	0,0514	0,0183	0,0709	0,0269	0,0605	0,0274	0,0650	
Kagemusha    	0,0506	0,0167	0,0460	0,0335	0,0472	0,0262	0,0562	
The Motorcycle Diaries	0,0539	0,0291	0,0692	0,0472	0,0821	0,0457	0,0465	
Leaving Las Vegas	0,0420	0,0206	0,0930	0,0327	0,0625	0,0374	0,0553	
Sideways     	0,0515	0,0401	0,0854	0,0399	0,0865	0,0838	0,0442	
The Thin Red Line	0,0716	0,0224	0,0684	0,0363	0,0627	0,0344	0,1473	
Tootsie      	0,0374	0,0365	0,0659	0,0381	0,0651	0,0818	0,0274	
From Russia with Love	0,0411	0,0235	0,0498	0,0358	0,0508	0,0388	0,0590	
Capote       	0,0689	0,0216	0,0690	0,0355	0,0798	0,0331	0,0555	
Kiss Kiss Bang Bang	0,0676	0,0467	0,0542	0,0372	0,0603	0,1179	0,0361	
