FILM                    	HA	LA	CO	BA	FR	GM	BM
In America              	0.2348	0.2816	0.3855	0.3452	0.2672	0.3964	0.2614	
Forbidden Planet        	0.2605	0.2970	0.2479	0.2926	0.2464	0.4097	0.2586	
The Hours               	0.3885	0.3013	0.4082	0.2029	0.3222	0.3838	0.2716	
Donnie Brasco           	0.2518	0.2154	0.2699	0.1702	0.2331	0.2704	0.2289	
The City of Lost Children	0.3046	0.2864	0.2452	0.3761	0.2689	0.3099	0.1987	
Minority Report         	0.3222	0.3222	0.3202	0.2723	0.2451	0.3968	0.2828	
Big Fish                	0.2743	0.2777	0.3531	0.4679	0.2478	0.4600	0.2200	
Spider-Man 2            	0.2866	0.3175	0.3857	0.3445	0.2793	0.4381	0.3191	
The Squid and the Whale 	0.2350	0.2578	0.3437	0.2535	0.2251	0.3249	0.2417	
Five Easy Pieces        	0.2726	0.2303	0.3137	0.1943	0.2194	0.3235	0.2243	
Forbidden Games         	0.2073	0.2616	0.2115	0.2074	0.2234	0.1813	0.1370	
Cinderella Man          	0.2865	0.3282	0.3597	0.2791	0.3218	0.3157	0.3116	
To Catch a Thief        	0.2546	0.2819	0.3563	0.2253	0.2081	0.4543	0.3765	
Bad Education           	0.2965	0.2391	0.2297	0.1983	0.2091	0.2619	0.1754	
Half Nelson             	0.2995	0.2388	0.2716	0.2982	0.3719	0.2497	0.1677	
Pierrot le Fou          	0.2365	0.2180	0.2778	0.1795	0.1845	0.2535	0.0879	
A Man for All Seasons   	0.2931	0.2877	0.2404	0.2428	0.3534	0.2779	0.2370	
Marty                   	0.1900	0.3484	0.3328	0.1827	0.2081	0.3734	0.1966	
Walkabout               	0.2435	0.2374	0.2748	0.2474	0.3034	0.2576	0.1784	
Brick                   	0.3052	0.2191	0.2442	0.2990	0.2429	0.3491	0.2361	
Billy Elliot            	0.2880	0.2694	0.3608	0.3336	0.3215	0.3949	0.2591	
Jackie Brown            	0.2780	0.2791	0.2552	0.2274	0.2486	0.4037	0.2511	
25th Hour               	0.2910	0.2737	0.3436	0.2081	0.3316	0.2824	0.2384	
Road to Perdition       	0.2924	0.2961	0.3242	0.2435	0.2765	0.2846	0.2917	
High Plains Drifter     	0.2438	0.4924	0.1898	0.1864	0.1795	0.2232	0.2772	
Fiddler on the Roof     	0.2832	0.2831	0.2652	0.3411	0.2689	0.4179	0.2368	
Ray                     	0.3043	0.2278	0.3568	0.2767	0.3243	0.3419	0.2589	
The Day of the Jackal   	0.2999	0.3178	0.2070	0.1961	0.2119	0.3056	0.1544	
Cast Away               	0.3127	0.3657	0.4102	0.2567	0.3187	0.3826	0.3172	
The Crow                	0.2486	0.2894	0.3044	0.2227	0.2316	0.3416	0.3394	
As Good as It Gets      	0.2525	0.2721	0.4023	0.2647	0.2816	0.4353	0.2192	
The Tenant              	0.2516	0.1788	0.1122	0.1346	0.1683	0.2382	0.1666	
Pi                      	0.3306	0.2951	0.2625	0.2593	0.2632	0.2730	0.2361	
Titanic                 	0.3358	0.3116	0.4560	0.2478	0.2931	0.3721	0.2670	
The Aviator             	0.4170	0.2679	0.3465	0.2627	0.3029	0.3396	0.2701	
Collateral              	0.3369	0.3420	0.3161	0.2607	0.2204	0.4096	0.2944	
Chicago                 	0.2679	0.3063	0.2986	0.4112	0.2909	0.4791	0.2363	
Hoosiers                	0.2686	0.1837	0.2844	0.2896	0.2615	0.2954	0.2209	
Mulan                   	0.2372	0.2496	0.2175	0.3832	0.2226	0.4144	0.2071	
Sin City                	0.2831	0.3354	0.3041	0.2610	0.2574	0.4402	0.4268	
Tombstone               	0.2683	0.2503	0.2461	0.1997	0.2954	0.3910	0.2513	
Videodrome              	0.2102	0.1782	0.2563	0.1848	0.1867	0.2576	0.2696	
Mildred Pierce          	0.2438	0.2221	0.2526	0.1798	0.2866	0.3019	0.2411	
Inside Man              	0.3294	0.2620	0.2445	0.1918	0.2314	0.3608	0.2006	
Bloody Sunday           	0.1793	0.0887	0.2204	0.1012	0.1308	0.1689	0.1899	
Predator                	0.2583	0.2884	0.2174	0.2136	0.1932	0.4201	0.2803	
Garden State            	0.2873	0.3128	0.4373	0.3033	0.2968	0.4714	0.2153	
In the Bedroom          	0.2686	0.2916	0.3611	0.2127	0.2303	0.2387	0.2883	
21 Grams                	0.3526	0.2826	0.3817	0.1884	0.2663	0.2887	0.2695	
Drugstore Cowboy        	0.1805	0.1175	0.1766	0.1727	0.1409	0.2575	0.0701	
Far from Heaven         	0.3488	0.3358	0.4313	0.2420	0.3294	0.3825	0.2665	
Angels with Dirty Faces 	0.1687	0.1903	0.2259	0.1927	0.2486	0.2251	0.1627	
Elizabeth               	0.3570	0.2983	0.3034	0.2273	0.2888	0.3295	0.2696	
Dark City               	0.2889	0.2595	0.2666	0.2516	0.2337	0.3391	0.2877	
Dumbo                   	0.2355	0.2905	0.2540	0.4368	0.2726	0.3948	0.1966	
Gilda                   	0.2547	0.1708	0.3609	0.1553	0.2512	0.2912	0.1939	
Batman                  	0.2997	0.3075	0.2533	0.3201	0.2572	0.4468	0.2969	
King Kong               	0.3319	0.3757	0.4286	0.3320	0.3116	0.4669	0.2992	
Metropolis              	0.2402	0.2480	0.2432	0.3551	0.2169	0.3145	0.1729	
Independence Day        	0.2130	0.3074	0.2358	0.2682	0.2428	0.5016	0.2252	
Wall Street             	0.3178	0.2558	0.2576	0.2367	0.2704	0.2869	0.1813	
Armageddon              	0.2252	0.3062	0.3664	0.2365	0.2125	0.4810	0.2155	
The Manchurian Candidate	0.2582	0.2270	0.2616	0.2242	0.2388	0.2809	0.2094	
The Ring                	0.3157	0.3241	0.2665	0.2536	0.3224	0.3862	0.2783	
Dead Birds              	0.1821	0.2046	0.1605	0.1322	0.2444	0.2227	0.1758	
The Producers           	0.1635	0.2750	0.2156	0.3229	0.1909	0.5472	0.1423	
Sky High                	0.1567	0.2458	0.1842	0.3597	0.2195	0.4444	0.1639	
Heaven Can Wait         	0.1738	0.2363	0.2935	0.2506	0.1892	0.4063	0.1363	
Spider-Man              	0.2905	0.3509	0.3438	0.3882	0.2653	0.5064	0.2975	
The Patriot             	0.2912	0.2899	0.3138	0.2705	0.2698	0.4044	0.3623	
Private Benjamin        	0.1149	0.1827	0.1534	0.2239	0.1618	0.3919	0.0902	
The Little Mermaid      	0.1995	0.2625	0.2338	0.4042	0.2968	0.4320	0.1594	
Gentlemen Prefer Blondes	0.2039	0.2286	0.2591	0.2689	0.3074	0.3920	0.1090	
Escape to Witch Mountain	0.1002	0.0763	0.0848	0.2194	0.1634	0.2349	0.0378	
The Mummy               	0.1301	0.1777	0.1142	0.1878	0.1705	0.2155	0.0892	
Tomcats                 	0.0701	0.1737	0.1616	0.1754	0.1447	0.3633	0.1008	
Underworld              	0.2443	0.3072	0.3040	0.2181	0.2044	0.4062	0.3178	
Cheaper by the Dozen    	0.1746	0.2288	0.2325	0.3850	0.1972	0.5352	0.2153	
Impromptu               	0.2325	0.1936	0.3322	0.1901	0.1821	0.3449	0.1147	
Thirteen                	0.2364	0.2349	0.2896	0.2996	0.3077	0.3616	0.2368	
Hardcore                	0.1525	0.1518	0.1692	0.1002	0.2815	0.2088	0.2012	
Home on the Range       	0.1740	0.1616	0.1755	0.3984	0.1879	0.3933	0.0832	
Big Daddy               	0.1689	0.2314	0.2462	0.2833	0.1957	0.5188	0.0942	
Sylvia                  	0.2875	0.2302	0.3318	0.1696	0.1858	0.2618	0.1716	
Rush Hour               	0.1368	0.2574	0.2814	0.2536	0.1982	0.5612	0.1535	
Man on Fire             	0.2589	0.3371	0.3483	0.2729	0.2915	0.3677	0.3942	
War of the Worlds       	0.2597	0.2932	0.3173	0.3033	0.2980	0.4128	0.3186	
Cabin Fever             	0.2059	0.2578	0.1945	0.2217	0.2360	0.5254	0.2678	
The One                 	0.1850	0.1942	0.2311	0.1628	0.1333	0.2961	0.2337	
Dirty Work              	0.1048	0.2222	0.1518	0.2167	0.2010	0.4684	0.1910	
Jersey Girl             	0.1955	0.2297	0.3644	0.3378	0.1895	0.4015	0.1044	
Walking Tall            	0.1636	0.1547	0.2270	0.1787	0.2152	0.3285	0.2082	
Moulin Rouge            	0.2449	0.1362	0.1902	0.1778	0.1411	0.2104	0.0718	
Fantasia 2000           	0.1805	0.2261	0.2356	0.4220	0.1896	0.3754	0.1771	
Tuck Everlasting        	0.2588	0.2590	0.2954	0.3038	0.2084	0.3882	0.1547	
Oliver Twist            	0.2180	0.1817	0.2402	0.2635	0.2560	0.2739	0.1928	
The Shaggy Dog          	0.0817	0.1789	0.1326	0.2413	0.1371	0.3754	0.0865	
Wolf                    	0.1845	0.1833	0.2960	0.1669	0.2354	0.2415	0.1902	
Alone in the Dark       	0.1565	0.1703	0.2274	0.1662	0.2198	0.3875	0.2068	
Behind Enemy Lines      	0.2096	0.2434	0.1944	0.1960	0.1489	0.3834	0.2035	
The Apartment           	0.2969	0.1170	0.3195	0.0964	0.1312	0.1738	0.0397	
The Village             	0.3286	0.3597	0.3299	0.2670	0.2916	0.3529	0.3248	
Peter Pan               	0.2640	0.2221	0.3354	0.4859	0.2214	0.4441	0.2329	
The In-Laws             	0.1256	0.2578	0.2432	0.2089	0.1769	0.4940	0.0885	
The Libertine           	0.3070	0.2688	0.2874	0.1795	0.2282	0.2937	0.2185	
Babel                   	0.3763	0.2813	0.3991	0.2373	0.2774	0.2991	0.2797	
300                     	0.3059	0.3077	0.2901	0.2699	0.2480	0.4353	0.3964	
Blood Diamond           	0.3141	0.3003	0.3145	0.2688	0.2613	0.3127	0.3979	
Alpha Dog               	0.2115	0.1982	0.1788	0.1956	0.2564	0.2555	0.2019	
We Are Marshall         	0.3080	0.2208	0.3619	0.2309	0.2234	0.2366	0.2183	
Apocalypto              	0.3365	0.3451	0.3701	0.2708	0.2555	0.3876	0.3861	
Stranger than Fiction   	0.2934	0.3143	0.3610	0.3024	0.2661	0.4540	0.2674	
Saw                     	0.3079	0.2994	0.2315	0.2055	0.2479	0.3546	0.2884	
Match Point             	0.3127	0.2941	0.4046	0.2137	0.3029	0.3252	0.2008	
The Machinist           	0.3425	0.2721	0.2815	0.2182	0.2227	0.2929	0.2657	
