FILM	HA	LA	CO	BA	FR	GM	BM
243   	41	234	292	23	254	36	267	
244   	195	351	289	519	119	6	571	
245   	282	930	262	1601	602	312	806	
246   	3381	1376	386	177	235	802	693	
247   	711	37	758	111	80	699	279	
248   	65	90	160	39	345	403	206	
249   	2	104	47	22	75	4	39	
250   	163	572	91	198	273	288	455	
251   	453	119	297	164	217	230	325	
252   	152	144	139	156	19	93	148	
253   	155	383	365	298	64	378	679	
254   	514	387	289	368	162	574	210	
255   	286	220	1	263	19	81	155	
256   	33	111	66	11	107	47	64	
257   	68	78	85	111	63	28	13	
258   	281	245	55	166	234	129	162	
259   	348	674	195	562	396	634	352	
260   	15	20	40	53	33	100	62	
261   	2289	235	271	197	2124	83	1524	
262   	1288	662	119	1199	303	312	563	
263   	120	106	25	180	7	93	99	
264   	370	437	142	449	616	62	50	
265   	1300	469	951	1537	1117	312	1114	
266   	1136	2227	2745	2239	915	4057	4225	
267   	742	604	1497	355	281	888	163	
268   	114	242	202	205	64	267	253	
269   	431	190	61	324	496	230	327	
270   	1006	307	1079	359	691	562	1796	
271   	920	1324	1390	492	554	703	77	
272   	514	108	660	362	898	167	1593	
273   	168	214	862	794	1013	388	1135	
274   	548	117	297	41	602	491	453	
275   	2857	798	2784	3296	2944	2638	1030	
276   	454	58	135	557	182	110	293	
277   	361	1215	1044	531	927	329	376	
278   	336	1221	1227	1308	687	1468	1076	
279   	135	1663	699	2321	1647	1886	113	
280   	164	638	1313	1020	722	640	289	
281   	1254	2169	676	2506	2346	1336	135	
282   	169	95	141	117	648	10	159	
283   	795	1638	1187	335	1401	954	1473	
284   	650	2231	811	1425	225	1230	410	
285   	897	398	331	546	68	147	401	
286   	577	977	671	2701	293	2727	623	
287   	1465	1384	1269	111	430	1302	1659	
288   	274	1394	1143	540	91	248	1089	
