L              	HA	LA	CO	BA	FR	GM	BM
fascinating    	0.000	0.000	4.890	0.000	0.000	1.467	0.000	
amorous        	0.000	0.000	2.987	0.000	0.000	0.000	0.000	
sweetheart     	0.000	0.000	0.000	3.045	0.000	0.000	0.000	
mother         	0.000	0.000	0.000	1.183	0.000	0.000	0.000	
affection      	0.000	0.000	6.390	0.000	4.090	0.000	0.000	
crush          	0.000	0.000	2.948	0.000	0.000	0.000	0.000	
triumph        	0.000	0.000	0.000	0.000	4.411	1.654	0.000	
pain           	0.000	0.000	0.000	0.000	0.000	0.000	11.015	
poetry         	5.220	0.000	0.000	0.000	0.000	0.000	0.000	
reliable       	0.000	0.000	0.000	0.000	10.075	0.000	0.000	
concentration  	3.052	0.000	0.000	0.000	0.000	0.000	0.000	
intimate       	0.000	0.000	8.437	0.000	0.000	0.000	0.000	
sexuality      	0.000	0.000	4.090	0.000	0.000	0.000	0.000	
irresistible   	0.000	0.000	3.002	0.000	0.000	0.000	0.000	
lull           	0.000	6.553	0.000	0.000	0.000	0.000	0.000	
imagine        	0.000	0.000	0.000	1.311	0.000	0.000	0.000	
comedian       	0.000	0.000	0.000	0.000	0.000	4.139	0.000	
strategy       	2.396	0.000	0.000	0.000	0.000	0.000	0.000	
romanticism    	0.000	0.000	3.447	0.000	0.000	0.000	0.000	
grateful       	0.000	0.000	0.000	0.000	0.000	7.836	0.000	
exasperation   	0.000	0.000	0.000	0.000	0.000	0.000	3.983	
connection     	0.000	0.000	8.220	0.000	0.000	0.000	0.000	
visual         	1.265	0.000	0.000	0.000	0.000	0.000	0.000	
calm           	0.000	11.191	0.000	0.000	0.000	0.000	0.000	
sentimental    	0.000	0.000	9.024	0.000	0.000	0.000	0.000	
delicate       	0.000	3.953	0.000	0.000	0.000	0.000	0.000	
excite         	0.000	0.000	0.000	0.000	0.000	4.194	0.000	
fortunate      	0.000	0.000	0.000	0.000	0.000	3.045	0.000	
dramatic       	0.000	0.000	0.000	0.000	0.000	0.000	9.812	
marry          	0.000	0.000	3.488	0.000	0.000	0.000	0.000	
friend         	0.000	0.000	0.000	1.205	7.393	0.000	0.000	
sensual        	0.000	0.000	5.829	0.000	0.000	0.000	0.000	
mythical       	0.000	0.000	0.000	2.310	0.000	0.000	0.000	
sensibility    	0.000	0.000	2.063	0.000	0.000	0.000	0.000	
fierce         	0.000	0.000	0.000	0.000	0.000	0.000	2.113	
smart          	3.910	0.000	0.000	0.000	0.000	0.000	0.000	
disgust        	0.000	0.000	0.000	0.000	0.000	0.000	6.104	
breathtaking   	1.581	0.000	0.000	0.000	0.000	0.000	0.000	
complicate     	2.795	0.000	0.000	0.000	0.000	0.000	0.000	
insult         	0.000	0.000	0.000	0.000	0.000	0.000	2.243	
fantastical    	0.000	0.000	0.000	2.218	0.000	0.000	0.000	
knowledge      	1.838	0.000	0.000	0.000	0.000	0.000	0.000	
lift           	0.000	4.515	0.000	0.000	0.000	0.000	0.000	
gentle         	0.000	9.469	0.000	0.000	0.000	0.000	0.000	
curse          	0.000	0.000	0.000	0.000	0.000	0.000	7.357	
feel           	0.000	0.000	4.243	0.000	0.000	0.000	0.000	
fun            	0.000	1.795	0.000	1.436	1.723	6.748	0.000	
puzzle         	8.065	0.000	0.000	0.000	0.000	0.000	0.000	
loyalty        	0.000	0.000	0.000	0.000	4.400	0.000	0.000	
praise         	0.000	0.000	0.000	0.000	0.000	2.279	0.000	
mystical       	0.000	0.000	0.000	7.382	0.000	0.000	0.000	
blissful       	0.000	0.000	0.000	0.000	0.000	3.701	0.000	
fury           	0.000	0.000	0.000	0.000	0.000	0.000	8.756	
fluent         	0.000	12.425	0.000	0.000	0.000	0.000	0.000	
enlighten      	1.322	0.000	0.000	0.000	0.000	0.000	0.000	
slow           	1.644	1.644	0.000	0.000	0.000	0.000	0.000	
optimism       	0.000	0.000	0.000	0.000	0.000	6.409	0.000	
center         	2.342	0.000	0.000	0.000	0.000	0.000	0.000	
narration      	1.933	0.000	0.000	0.000	0.000	0.000	0.000	
boxing         	0.000	0.000	0.000	0.000	0.000	0.000	2.524	
history        	2.204	0.000	0.000	0.000	0.000	0.000	0.000	
ambivalent     	5.242	0.000	0.000	0.000	0.000	0.000	0.000	
original       	1.117	0.000	0.000	0.000	0.000	0.000	0.000	
sensitive      	0.000	1.790	0.000	1.790	0.000	0.000	0.000	
loosen         	0.000	3.617	0.000	0.000	0.000	0.000	0.000	
romance        	0.000	0.000	9.174	0.000	0.000	0.000	0.000	
exhaust        	1.974	0.000	0.000	0.000	0.000	0.000	0.000	
superhero      	0.000	0.000	0.000	5.128	2.959	0.000	0.000	
deep           	2.162	0.000	7.372	0.000	0.000	0.000	0.000	
husband        	0.000	0.000	5.096	0.000	0.000	0.000	0.000	
date           	0.000	0.000	5.936	0.000	0.000	0.000	0.000	
addictive      	0.000	8.298	0.000	0.000	0.000	0.000	0.000	
violent        	0.000	0.000	0.000	0.000	0.000	0.000	11.594	
dissatisfaction	0.000	0.000	0.000	0.000	0.000	0.000	5.628	
explain        	2.180	0.000	0.000	0.000	0.000	0.000	0.000	
continuous     	2.388	0.000	0.000	0.000	0.000	0.000	0.000	
harmony        	0.000	0.000	0.000	0.000	3.008	0.000	0.000	
senseless      	2.513	0.000	0.000	0.000	0.000	0.000	0.000	
reflect        	0.000	0.000	0.000	0.000	2.289	0.000	0.000	
positive       	0.000	0.000	0.000	0.000	0.000	2.233	0.000	
fairy          	0.000	0.000	0.000	10.779	0.000	0.000	0.000	
captivate      	4.849	0.000	1.818	0.000	0.000	0.000	0.000	
magical        	0.000	0.000	0.000	8.365	0.000	0.000	0.000	
enemy          	0.000	0.000	0.000	0.000	0.000	0.000	1.391	
link           	2.004	0.000	0.000	0.000	0.000	0.000	0.000	
perceive       	2.170	0.000	0.000	0.000	0.000	0.000	0.000	
comprehend     	2.230	0.000	0.000	0.000	0.000	0.000	0.000	
scared         	0.000	0.000	0.000	0.000	0.000	0.000	2.821	
creepy         	0.000	0.000	0.000	0.000	0.000	0.000	1.743	
light          	0.000	5.958	0.000	0.000	0.000	0.000	0.000	
impress        	0.000	0.000	0.000	0.000	0.000	2.258	0.000	
christmas      	0.000	0.000	0.000	2.759	0.000	0.000	0.000	
climax         	3.573	0.000	0.000	0.000	0.000	0.000	0.000	
dreamy         	0.000	0.000	3.080	0.000	0.000	0.000	0.000	
joyous         	0.000	0.000	0.000	0.000	0.000	3.020	0.000	
heartstrings   	0.000	0.000	4.667	0.000	0.000	0.000	0.000	
enjoyable      	0.000	0.891	0.000	0.000	0.000	0.000	0.000	
spite          	0.000	0.000	0.000	0.000	0.000	0.000	3.807	
irresponsible  	0.000	0.000	0.000	0.000	0.000	0.000	3.813	
nocturnal      	0.000	0.000	0.000	0.000	0.000	0.000	3.521	
furious        	0.000	0.000	0.000	0.000	0.000	0.000	4.705	
mystery        	3.012	0.000	0.000	0.000	0.000	0.000	0.000	
obvious        	0.000	8.565	0.000	0.000	0.000	0.000	0.000	
frustration    	0.000	0.000	0.000	0.000	0.000	0.000	6.568	
sympathy       	0.000	0.000	0.000	0.000	0.000	0.000	2.604	
lucky          	0.000	0.000	0.000	0.000	0.000	3.928	0.000	
dishonest      	0.000	0.000	0.000	0.000	0.000	0.000	7.966	
coward         	0.000	0.000	0.000	0.000	0.000	0.000	3.368	
integrity      	0.000	0.000	0.000	0.000	2.590	0.000	0.000	
student        	0.000	0.000	0.000	2.330	0.000	0.000	0.000	
golden         	0.000	0.000	0.000	0.000	0.000	2.613	0.000	
popcorn        	0.000	0.000	0.000	3.212	0.000	0.000	0.000	
feeling        	0.000	0.000	10.414	1.893	1.420	0.000	0.000	
party          	0.000	0.000	0.000	0.000	4.607	0.000	0.000	
breathe        	0.000	2.604	0.000	0.000	0.000	0.000	0.000	
care           	0.000	0.000	2.912	0.000	5.533	0.000	0.000	
benevolence    	0.000	0.000	3.983	0.000	0.000	0.000	0.000	
raging         	0.000	0.000	0.000	0.000	0.000	0.000	9.745	
discover       	2.067	0.000	0.000	0.000	0.000	0.000	0.000	
adventurous    	0.000	0.000	0.000	2.842	0.000	0.000	0.000	
musical        	0.000	0.000	0.000	3.374	0.000	0.000	0.000	
arrogant       	0.000	0.000	0.000	0.000	0.000	0.000	9.361	
exciting       	0.000	0.000	0.000	0.000	0.000	7.546	0.000	
