FILM	256	1	4	261	5	6	262	263	7	266	10	15	271	272	18	19	275	20	276	21	22	278	23	280	24	281	27	283	284	29	286	31	287	288	32	35	36	40	44	45	47	48	49	51	52	55	56	61	62	64	65	67	71	72	75	76	78	79	82	83	84	85	86	89	90	91	92	93	95	98	100	103	104	105	107	108	110	111	114	115	116	117	118	120	122	123	127	129	132	134	138	140	142	148	149	150	153	156	157	159	160	161	165	166	167	171	172	185	189	190	193	195	196	198	199	205	206	214	216	217	219	221	223	225	226	227	228	229	230	231	232	236	237	241	242	244	246	247	249	
[1, 3, 6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[342, 910, 612]			0	0	0	0	[143, 660, 1814]			0	0	0	0	0	0	0	[1171, 314, 345]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1176, 841, 1300]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[4511, 4172, 942]			0	0	0	0	0	0	0	0	0	[199, 2921, 122]			0	0	0	[948, 2555, 1727]			0	0	[1536, 198, 1587]			0	0	0	[3070, 2265, 3802]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1035, 1883, 589]			0	0	0	0	0	0	0	
[4, 7]	0	0	0	0	0	0	[1010, 697, 505]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1091, 1162, 2361]			0	[345, 298, 803]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2063, 22, 1095]			0	0	0	0	0	0	[167, 985, 1172]			0	[1513, 1361, 181]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[164, 318, 450]			0	0	[2555, 107, 2518]			0	0	0	[1366, 1745, 1353]			0	0	0	0	0	[1133, 1030, 1168]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[5, 6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[833, 309, 512]			[86, 23, 760]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[399, 684, 133]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[858, 1242, 155]			0	0	0	0	0	0	0	0	0	0	0	0	0	[1833, 533, 348]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[510, 1518, 1411]			0	[778, 54, 176]			[515, 242, 586]			0	0	0	[172, 55, 65]			0	0	0	0	0	[59, 29, 30]			0	0	0	0	
[1, 3, 7]	0	0	0	0	0	0	0	0	[3300, 2202, 3725]			0	0	0	0	0	0	0	0	0	0	0	0	[307, 1435, 1323]			0	0	0	0	0	0	0	0	0	0	[294, 698, 32]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3034, 1320, 5577]			[270, 1480, 1293]			0	0	0	0	0	0	[2504, 836, 26]			0	0	0	0	0	0	0	0	0	[3127, 1710, 5377]			0	0	0	0	[1001, 1320, 821]			0	0	0	0	0	0	[1361, 39, 1286]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3070, 2265, 2813]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
[1, 4, 6]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[982, 2120, 1132]			0	0	0	0	0	0	[388, 2346, 2405]			0	0	0	0	0	0	0	0	0	0	0	[14, 342, 770]			[1091, 168, 995]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3231, 1128, 4227]			0	0	0	0	0	0	0	0	0	0	0	0	[1958, 63, 1364]			0	0	0	0	0	[234, 396, 136]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1047, 486, 641]			0	[860, 3571, 1454]			0	0	0	0	0	0	0	0	0	[1615, 1652, 1244]			0	0	0	0	0	0	0	0	0	
[2, 3, 6]	0	[1783, 1363, 3081]			0	0	0	0	0	0	0	0	0	0	[99, 1206, 35]			0	0	0	0	0	0	[46, 526, 970]			0	0	0	0	0	0	0	0	[1353, 2125, 2174]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2696, 3203, 945]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[830, 1763, 613]			0	0	[41, 315, 565]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[982, 150, 2042]			0	0	0	0	0	0	0	0	0	0	0	0	0	[240, 737, 3581]			0	0	0	0	0	0	0	0	[246, 585, 73]			0	0	0	
[5, 7]	0	0	0	0	0	0	0	0	0	[4091, 497, 2816]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1228, 1659, 1389]			0	0	[4245, 6046, 3980]			[742, 1238, 244]			0	0	0	0	0	0	0	0	0	0	0	[2926, 3176, 4826]			0	0	0	0	0	0	0	[1441, 1131, 1631]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[906, 1900, 1309]			0	0	0	0	0	0	0	[1833, 533, 193]			0	0	[1678, 584, 1616]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[445, 690, 591]			0	
[1, 4, 7]	0	[3049, 1853, 2266]			[1528, 195, 21]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2207, 2350, 1949]			0	0	0	0	0	0	0	0	0	0	0	0	[1309, 76, 1162]			0	0	0	[772, 689, 933]			0	0	0	0	0	[1229, 996, 4196]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2084, 1863, 2441]			0	[318, 686, 879]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[272, 2260, 290]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[3390, 3068, 1535]			0	0	
[1, 5, 6]	0	0	0	0	0	0	0	0	0	0	0	[116, 342, 755]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[512, 21, 1855]			0	0	0	0	0	0	0	0	0	0	0	[641, 1270, 199]			[116, 377, 109]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2042, 1728, 3370]			[1167, 156, 984]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[601, 223, 447]			0	0	0	0	0	0	0	0	0	0	0	[49, 875, 14]			0	0	0	0	0	0	0	[980, 1414, 348]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[73, 41, 295]			0	0	0	
[2, 3, 7]	0	0	0	0	0	0	0	0	0	0	[6915, 4351, 78]			0	0	0	0	0	[138, 169, 199]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[1270, 680, 1042]			0	0	0	0	0	0	0	[361, 319, 1160]			0	0	0	0	0	0	0	[2704, 1567, 1476]			0	0	0	0	0	0	0	0	0	0	0	[3075, 3231, 1614]			0	0	0	0	0	0	0	0	0	0	[492, 1048, 445]			0	[3013, 1628, 2055]			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[2828, 240, 3581]			0	0	0	0	[1883, 1035, 589]			0	0	0	0	0	0	0	
