L            	HA	LA	CO	BA	FR	GM	BM
be grateful  	0,000	0,000	0,000	0,000	0,000	8,905	0,000	
be grow      	0,000	0,000	0,000	6,843	0,000	0,000	0,000	
be guide     	0,000	0,000	0,000	0,000	5,170	0,000	0,000	
be guilty    	0,000	0,000	0,000	0,000	0,000	0,000	9,913	
be happiness 	0,000	0,000	0,000	2,776	0,000	8,327	0,000	
be happy     	0,000	0,000	0,000	1,475	0,000	9,344	0,000	
be heart     	0,000	0,000	2,405	0,000	0,000	0,000	0,000	
be help      	0,000	0,000	0,000	0,000	6,898	0,000	0,000	
be hero      	0,000	0,000	0,000	4,655	0,000	0,000	0,000	
be hilarious 	0,000	2,042	0,000	2,042	0,000	9,188	0,000	
be history   	2,094	0,000	0,000	0,000	0,000	0,000	0,000	
be hit       	0,000	0,000	0,000	0,000	0,000	0,000	2,705	
be holiday   	0,000	0,000	0,000	3,405	0,000	0,000	0,000	
be honest    	0,000	0,000	0,000	0,000	5,989	0,000	0,000	
be hot       	0,000	0,000	4,980	0,000	0,000	0,000	0,000	
be husband   	0,000	0,000	3,045	0,000	0,000	0,000	0,000	
be imagination	0,000	0,000	0,000	6,115	0,000	0,000	0,000	
be innocent  	0,000	0,000	0,000	2,897	0,000	0,000	0,000	
be inspirational	4,237	0,000	0,000	0,000	0,000	0,000	0,000	
be instant   	0,000	2,821	0,000	0,000	0,000	0,000	0,000	
be intimate  	0,000	0,000	3,032	0,000	0,000	0,000	0,000	
be intricate 	4,539	0,000	0,000	0,000	0,000	0,000	0,000	
be intuitive 	0,000	3,887	0,000	0,000	0,000	0,000	0,000	
be ironic    	0,000	0,000	0,000	0,000	0,000	7,990	0,000	
be joy       	0,000	3,901	0,000	3,511	0,000	8,061	0,000	
be joyful    	0,000	0,000	0,000	0,000	0,000	2,686	0,000	
be kid       	0,000	0,000	0,000	4,709	0,000	0,000	0,000	
be kind      	0,000	0,000	0,000	0,000	0,000	6,200	0,000	
be kiss      	0,000	0,000	5,484	0,000	0,000	0,000	0,000	
be laugh     	0,000	0,000	0,000	0,000	0,000	9,145	0,000	
be lie       	0,000	0,000	0,000	0,000	0,000	0,000	7,211	
be light     	0,000	2,707	0,000	0,000	0,000	0,000	0,000	
be linear    	0,000	9,380	0,000	0,000	0,000	0,000	0,000	
be love      	0,000	0,000	8,044	1,508	0,000	4,022	0,000	
be lovely    	0,000	0,000	0,000	0,000	0,000	10,118	0,000	
be lover     	0,000	0,000	3,164	0,000	0,000	0,000	0,000	
be loyal     	0,000	0,000	0,000	0,000	9,156	0,000	0,000	
be magic     	0,000	0,000	0,000	8,758	0,000	0,000	0,000	
be magical   	0,000	0,000	0,000	5,332	0,000	0,000	0,000	
be mean      	5,007	0,000	0,000	0,000	0,000	0,000	6,259	
be metaphor  	2,340	0,000	0,000	0,000	0,000	0,000	0,000	
be miserable 	0,000	0,000	0,000	0,000	0,000	0,000	5,831	
be mom       	0,000	0,000	0,000	2,113	0,000	0,000	0,000	
be musical   	0,000	0,000	0,000	4,126	0,000	0,000	0,000	
be mutual    	0,000	0,000	0,000	0,000	5,628	0,000	0,000	
be mystery   	2,193	0,000	0,000	0,000	0,000	0,000	0,000	
be mystical  	0,000	0,000	0,000	3,701	0,000	0,000	0,000	
be night     	0,000	3,251	0,000	0,000	0,000	0,000	0,000	
be obvious   	0,000	6,817	0,000	0,000	0,000	0,000	0,000	
be offend    	0,000	0,000	0,000	0,000	0,000	0,000	4,761	
be original  	3,214	0,000	0,000	0,000	0,000	0,000	0,000	
be partner   	0,000	0,000	3,887	0,000	0,000	0,000	0,000	
be passion   	0,000	0,000	5,026	0,000	0,000	0,000	0,000	
be passionate	0,000	0,000	3,014	0,000	0,000	0,000	0,000	
be peace     	0,000	6,669	0,000	0,000	0,000	3,335	0,000	
be peaceful  	0,000	3,521	0,000	0,000	0,000	0,000	0,000	
be plain     	0,000	7,333	0,000	0,000	0,000	0,000	0,000	
be pleasant  	0,000	9,409	0,000	0,000	0,000	0,000	0,000	
be please    	0,000	0,000	0,000	0,000	0,000	2,547	0,000	
be pleased   	0,000	0,000	0,000	0,000	0,000	6,115	0,000	
be pleasure  	0,000	0,000	0,000	0,000	0,000	9,599	0,000	
be powerful  	0,000	0,000	2,008	0,000	0,000	0,000	0,000	
be predictable	0,000	2,186	0,000	0,000	0,000	0,000	0,000	
be profound  	9,708	0,000	5,547	0,000	0,000	0,000	0,000	
be proud     	0,000	0,000	0,000	3,744	0,000	0,000	0,000	
be pure      	0,000	0,000	3,382	0,000	0,000	0,000	0,000	
be quiet     	0,000	2,724	0,000	0,000	0,000	0,000	0,000	
be raw       	0,000	0,000	0,000	0,000	0,000	0,000	4,227	
be real      	0,000	0,000	0,000	0,000	1,839	0,000	0,000	
be relationship	0,000	0,000	4,429	0,000	0,000	0,000	0,000	
be relax     	0,000	11,132	0,000	0,000	0,000	6,850	0,000	
be reliable  	0,000	0,000	0,000	0,000	10,969	0,000	0,000	
be rely      	0,000	0,000	0,000	0,000	5,484	0,000	0,000	
be romance   	0,000	0,000	4,352	0,000	0,000	0,000	0,000	
be romantic  	0,000	0,000	9,204	0,000	0,000	0,000	0,000	
be rude      	0,000	0,000	0,000	0,000	0,000	0,000	10,690	
be sad       	0,000	0,000	0,000	0,000	0,000	0,000	7,806	
be scare     	0,000	0,000	0,000	0,000	0,000	0,000	2,808	
be scared    	0,000	0,000	0,000	0,000	0,000	0,000	3,263	
be seductive 	0,000	0,000	5,107	0,000	0,000	0,000	0,000	
be selfish   	0,000	0,000	0,000	0,000	0,000	0,000	9,042	
be sensual   	0,000	0,000	5,107	0,000	0,000	0,000	0,000	
be sentimental	0,000	0,000	9,264	0,000	0,000	0,000	0,000	
be sexual    	0,000	0,000	5,026	0,000	0,000	0,000	0,000	
be sexy      	0,000	0,000	6,767	0,000	0,000	0,000	0,000	
be shameful  	0,000	0,000	0,000	0,000	0,000	0,000	6,177	
be share     	0,000	0,000	0,000	0,000	2,948	0,000	0,000	
be shine     	0,000	0,000	0,000	0,000	0,000	4,333	0,000	
be shocking  	0,000	0,000	0,000	0,000	0,000	0,000	4,143	
be silly     	0,000	0,000	0,000	0,000	0,000	0,000	6,039	
be simple    	0,000	11,560	0,000	0,000	0,000	0,000	0,000	
be sincere   	0,000	0,000	0,000	0,000	9,310	3,103	0,000	
be smart     	2,336	0,000	0,000	0,000	0,000	0,000	0,000	
be smile     	0,000	0,000	0,000	6,669	0,000	2,501	0,000	
be smooth    	0,000	2,996	0,000	0,000	0,000	0,000	0,000	
be soft      	0,000	8,736	0,000	0,000	0,000	0,000	0,000	
be son       	0,000	0,000	0,000	2,872	0,000	0,000	0,000	
be soulmate  	0,000	0,000	5,831	0,000	0,000	0,000	0,000	
be struggle  	0,000	0,000	0,000	0,000	0,000	0,000	4,558	
