FILM         	HA	LA	CO	BA	FR	GM	BM
Kung Fu Hustle	0,0282	0,0761	0,0471	0,0436	0,0439	0,1250	0,0769	
Porco Rosso  	0,0307	0,0428	0,0444	0,0693	0,0304	0,0716	0,0338	
Midnight Express	0,0245	0,0169	0,0392	0,0156	0,0443	0,0214	0,0305	
Midnight Run 	0,0249	0,0417	0,0287	0,0276	0,0457	0,1119	0,0221	
The Umbrellas of Cherbourg	0,0156	0,0337	0,0765	0,0225	0,0303	0,0228	0,0249	
Serenity     	0,0381	0,0446	0,0594	0,0553	0,0540	0,0757	0,0384	
Mystic River 	0,0422	0,0258	0,0451	0,0243	0,0457	0,0339	0,0396	
After Hours  	0,0357	0,0429	0,0309	0,0172	0,0303	0,0909	0,0246	
Apollo 13    	0,0305	0,0236	0,0387	0,0399	0,0301	0,0410	0,0362	
Dances with Wolves	0,0276	0,0248	0,0776	0,0315	0,0363	0,0357	0,0306	
From Here to Eternity	0,0139	0,0177	0,0434	0,0215	0,0544	0,0274	0,0318	
American Splendor	0,0252	0,0428	0,0359	0,0218	0,0608	0,0483	0,0257	
Easy Rider   	0,0197	0,0319	0,0357	0,0267	0,0485	0,0479	0,0306	
Animal House 	0,0160	0,0890	0,0299	0,0318	0,0643	0,1468	0,0222	
East of Eden 	0,0235	0,0212	0,0375	0,0164	0,0250	0,0301	0,0291	
Dead Man Walking	0,0214	0,0234	0,0512	0,0198	0,0377	0,0260	0,0247	
Kagemusha    	0,0195	0,0174	0,0353	0,0141	0,0273	0,0251	0,0317	
The Motorcycle Diaries	0,0229	0,0426	0,0454	0,0353	0,0716	0,0479	0,0273	
Leaving Las Vegas	0,0196	0,0317	0,0960	0,0284	0,0400	0,0387	0,0337	
Sideways     	0,0257	0,0585	0,0510	0,0279	0,0899	0,0961	0,0319	
The Thin Red Line	0,0312	0,0234	0,0398	0,0216	0,0401	0,0321	0,1723	
Tootsie      	0,0206	0,0605	0,0500	0,0328	0,0542	0,0969	0,0209	
From Russia with Love	0,0201	0,0298	0,0326	0,0226	0,0389	0,0393	0,0492	
Capote       	0,0315	0,0251	0,0496	0,0225	0,0612	0,0313	0,0339	
Kiss Kiss Bang Bang	0,0598	0,0715	0,0391	0,0299	0,0502	0,1348	0,0272	
The Color Purple	0,0196	0,0200	0,0682	0,0274	0,0408	0,0359	0,0250	
Misery       	0,0279	0,0301	0,0492	0,0170	0,0437	0,0439	0,0354	
Bullitt      	0,0288	0,0218	0,0311	0,0240	0,0457	0,0407	0,0297	
Walk the Line	0,0295	0,0270	0,0918	0,0328	0,0508	0,0368	0,0321	
Empire of the Sun	0,0224	0,0190	0,0510	0,0398	0,0355	0,0303	0,0456	
V for Vendetta	0,0374	0,0368	0,0541	0,0306	0,0416	0,0455	0,0382	
In America   	0,0320	0,0229	0,0459	0,0426	0,0415	0,0318	0,0369	
Forbidden Planet	0,0391	0,0339	0,0427	0,1407	0,0361	0,0589	0,0275	
The Hours    	0,0356	0,0263	0,0395	0,0200	0,0601	0,0303	0,0324	
Donnie Brasco	0,0341	0,0168	0,0386	0,0188	0,0342	0,0288	0,0285	
The City of Lost Children	0,0418	0,0270	0,0384	0,0369	0,0357	0,0351	0,0284	
Minority Report	0,0592	0,0303	0,0317	0,0451	0,0365	0,0458	0,0388	
Big Fish     	0,0228	0,0347	0,0728	0,0581	0,0461	0,0675	0,0277	
Spider-Man 2 	0,0257	0,0311	0,0593	0,0365	0,0630	0,0489	0,0458	
The Squid and the Whale	0,0268	0,0378	0,0307	0,0338	0,0429	0,0524	0,0344	
Five Easy Pieces	0,0426	0,0251	0,0348	0,0207	0,0430	0,0380	0,0261	
Forbidden Games	0,0143	0,0265	0,0434	0,0196	0,0379	0,0207	0,0478	
Cinderella Man	0,0250	0,0231	0,0640	0,0520	0,0497	0,0350	0,0462	
To Catch a Thief	0,0333	0,0424	0,0477	0,0309	0,0400	0,0748	0,0242	
Bad Education	0,0473	0,0219	0,0404	0,0214	0,0474	0,0407	0,0265	
Half Nelson  	0,0222	0,0229	0,0307	0,0240	0,0435	0,0279	0,0372	
Pierrot le Fou	0,0177	0,0198	0,0321	0,0200	0,0328	0,0481	0,0245	
A Man for All Seasons	0,0233	0,0224	0,0394	0,0259	0,0308	0,0254	0,0266	
Marty        	0,0175	0,0376	0,0852	0,0339	0,0600	0,0408	0,0236	
Walkabout    	0,0262	0,0223	0,0273	0,0291	0,0346	0,0300	0,0252	
Brick        	0,0512	0,0333	0,0344	0,0276	0,0479	0,0583	0,0319	
Billy Elliot 	0,0236	0,0291	0,0596	0,0620	0,0597	0,0493	0,0318	
Jackie Brown 	0,0377	0,0416	0,0495	0,0250	0,0362	0,0581	0,0330	
25th Hour    	0,0268	0,0327	0,0444	0,0191	0,0791	0,0263	0,0330	
Road to Perdition	0,0333	0,0393	0,0425	0,0308	0,0395	0,0306	0,0351	
High Plains Drifter	0,0296	0,0205	0,0219	0,0154	0,0284	0,0383	0,0354	
Fiddler on the Roof	0,0211	0,0334	0,0732	0,0923	0,0443	0,0610	0,0229	
Ray          	0,0275	0,0218	0,0451	0,0228	0,0403	0,0324	0,0328	
The Day of the Jackal	0,0360	0,0265	0,0222	0,0183	0,0282	0,0309	0,0294	
Cast Away    	0,0245	0,0359	0,0558	0,0318	0,0635	0,0502	0,0313	
The Crow     	0,0269	0,0286	0,0799	0,0228	0,0402	0,0373	0,0497	
As Good as It Gets	0,0185	0,0421	0,0579	0,0277	0,0588	0,0854	0,0254	
